"jobTitle-link","jobTitle-link href","jobDate","jobLocation"
"Rostering Coordinator - Tweed Heads Based","https://careers.australianunity.com.au/job/Tweed-Heads-Rostering-Coordinator-Tweed-Heads-Based-NSW-2485/1059511466/","14 Jan 2025","Tweed Heads, NSW, AU, 2485"
"Support Worker - Personal Care - Nelson Bay & Surrounds","https://careers.australianunity.com.au/job/Nelson-Bay-Support-Worker-Personal-Care-Nelson-Bay-&-Surrounds-NSW-2315/1057015366/","13 Jan 2025","Nelson Bay, NSW, AU, 2315"
"Support Worker - Experienced - Nelson Bay & Surrounds","https://careers.australianunity.com.au/job/Nelson-Bay-Support-Worker-Experienced-Nelson-Bay-&-Surrounds-NSW-2315/1057015666/","13 Jan 2025","Nelson Bay, NSW, AU, 2315"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Cootamundra-Home-Care-Support-Worker-Aged-Care-NSW-2590/949083410/","13 Jan 2025","Cootamundra, NSW, AU, 2590"
"Registered Nurse - AM or PM shifts | Kilsyth Location","https://careers.australianunity.com.au/job/Kilsyth-Registered-Nurse-AM-or-PM-shifts-Kilsyth-Location-VIC-3137/1056054966/","13 Jan 2025","Kilsyth, VIC, AU, 3137"
"Home Support Worker - Aged Care |  Inverell & Surrounds","https://careers.australianunity.com.au/job/Inverell%2C-Ashford-Home-Support-Worker-Aged-Care-Inverell-&-Surrounds-NSW-2360%2C-2361/949496610/","13 Jan 2025","Inverell, Ashford, NSW, AU, 2360, 2361"
"Support Workers - Forster-Tuncurry NSW","https://careers.australianunity.com.au/job/Forster-Support-Workers-Forster-Tuncurry-NSW-NSW-2428/1053000566/","13 Jan 2025","Forster, NSW, AU, 2428"
"Support Worker - Personal Care - Fern Bay & Surrounds","https://careers.australianunity.com.au/job/Fern-Bay%2C-Tea-Gardens-Support-Worker-Personal-Care-Fern-Bay-&-Surrounds-NSW-2295%2C-2324/1057013666/","13 Jan 2025","Fern Bay, Tea Gardens, NSW, AU, 2295, 2324"
"Support Worker - Entry Level or Experienced - Lightning Ridge","https://careers.australianunity.com.au/job/Lightning-Ridge-Support-Worker-Entry-Level-or-Experienced-Lightning-Ridge-NSW-2834/948075110/","13 Jan 2025","Lightning Ridge, NSW, AU, 2834"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Corowa-Home-Care-Support-Worker-Aged-Care-NSW-2646/949087110/","13 Jan 2025","Corowa, NSW, AU, 2646"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Culcairn%2C-Holbrook%2C-Henty-Home-Care-Support-Worker-Aged-Care-NSW-2660%2C-2644/949082410/","13 Jan 2025","Culcairn, Holbrook, Henty, NSW, AU, 2660, 2644"
"Food Service Assistant","https://careers.australianunity.com.au/job/Mornington-Food-Service-Assistant-VIC-3931/949216710/","13 Jan 2025","Mornington, VIC, AU, 3931"
"Registered Nurse | Part Time | Kogarah","https://careers.australianunity.com.au/job/Kogarah-Registered-Nurse-Part-Time-Kogarah-NSW-2217/1059479166/","13 Jan 2025","Kogarah, NSW, AU, 2217"
"Support Worker - Condobolin","https://careers.australianunity.com.au/job/Condobolin-Support-Worker-Condobolin-NSW-2877/1056963166/","12 Jan 2025","Condobolin, NSW, AU, 2877"
"Support Worker - Experienced - Warren","https://careers.australianunity.com.au/job/Warren-Support-Worker-Experienced-Warren-NSW-2824/947993110/","12 Jan 2025","Warren, NSW, AU, 2824"
"Experienced Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Temora%2C-Ariah-Park-Experienced-Home-Care-Support-Worker-Aged-Care-NSW-2666%2C-2665/949045010/","12 Jan 2025","Temora, Ariah Park, NSW, AU, 2666, 2665"
"Support Workers - Experienced - Tweed Heads NSW","https://careers.australianunity.com.au/job/Tweed-Heads-Support-Workers-Experienced-Tweed-Heads-NSW-NSW-2485/1056965866/","12 Jan 2025","Tweed Heads, NSW, AU, 2485"
"Administrative Assistant - Wagga Wagga","https://careers.australianunity.com.au/job/Wagga-Wagga-Administrative-Assistant-Wagga-Wagga-NSW-2650/1056081666/","12 Jan 2025","Wagga Wagga, NSW, AU, 2650"
"Support Worker - Peak Hill","https://careers.australianunity.com.au/job/Peak-Hill-Support-Worker-Peak-Hill-NSW-2869/1056962966/","12 Jan 2025","Peak Hill, NSW, AU, 2869"
"Support Worker - Tottenham","https://careers.australianunity.com.au/job/Tottenham-Support-Worker-Tottenham-NSW-2873/1056963466/","12 Jan 2025","Tottenham, NSW, AU, 2873"
"Home Care Support Worker - Sutherland Shire","https://careers.australianunity.com.au/job/Caringbah-Home-Care-Support-Worker-Sutherland-Shire-NSW-2229/947666010/","11 Jan 2025","Caringbah, NSW, AU, 2229"
"Support Worker - Entry Level - Broken Hill","https://careers.australianunity.com.au/job/Broken-Hill-Support-Worker-Entry-Level-Broken-Hill-NSW-2880/948076510/","11 Jan 2025","Broken Hill, NSW, AU, 2880"
"Experienced Home Support Worker - Aged Care | South West Rocks & Surrounds","https://careers.australianunity.com.au/job/South-West-Rocks-Experienced-Home-Support-Worker-Aged-Care-South-West-Rocks-&-Surrounds-NSW-2431/1050103266/","10 Jan 2025","South West Rocks, NSW, AU, 2431"
"Personal Care Worker | Aged Care","https://careers.australianunity.com.au/job/Nowra-Personal-Care-Worker-Aged-Care-NSW-2541/949287110/","10 Jan 2025","Nowra, NSW, AU, 2541"
"Support Workers - Gloucester NSW","https://careers.australianunity.com.au/job/Gloucester-Support-Workers-Gloucester-NSW-NSW-2422/1051980866/","10 Jan 2025","Gloucester, NSW, AU, 2422"
"Support Worker - Entry Level or Experienced - Nyngan","https://careers.australianunity.com.au/job/Nyngan-Support-Worker-Entry-Level-or-Experienced-Nyngan-NSW-2825/1058009866/","18 Dec 2024","Nyngan, NSW, AU, 2825"
"Home Care Support Worker - Artarmon","https://careers.australianunity.com.au/job/Artarmon-Home-Care-Support-Worker-Artarmon-NSW-2064/1051170266/","17 Dec 2024","Artarmon, NSW, AU, 2064"
"Administration Assistant | Willandra Retirement Community","https://careers.australianunity.com.au/job/Cromer-Administration-Assistant-Willandra-Retirement-Community-NSW-2099/1057979266/","17 Dec 2024","Cromer, NSW, AU, 2099"
"Home Care Support Worker - Hornsby Shire","https://careers.australianunity.com.au/job/Glenorie-Home-Care-Support-Worker-Hornsby-Shire-NSW-2157/1051144566/","17 Dec 2024","Glenorie, NSW, AU, 2157"
"Hairdresser | Aged Care","https://careers.australianunity.com.au/job/Woolloongabba-Hairdresser-Aged-Care-QLD-4102/1057982666/","17 Dec 2024","Woolloongabba, QLD, AU, 4102"
"Home Support Worker - Aged Care | Umina Beach & Surrounds","https://careers.australianunity.com.au/job/Blackwall-Home-Support-Worker-Aged-Care-Umina-Beach-&-Surrounds-NSW-2256/1053212166/","17 Dec 2024","Blackwall, NSW, AU, 2256"
"Home Support Worker - Aged Care |  Bateau Bay & Surrounds","https://careers.australianunity.com.au/job/Bateau-Bay-Home-Support-Worker-Aged-Care-Bateau-Bay-&-Surrounds-NSW-2261/1057960866/","17 Dec 2024","Bateau Bay, NSW, AU, 2261"
"Maintenance Officer | Retirement Living","https://careers.australianunity.com.au/job/Maroubra-Maintenance-Officer-Retirement-Living-NSW-2035/1058864766/","17 Dec 2024","Maroubra, NSW, AU, 2035"
"Support Worker - Personal Care - Hunter Valley","https://careers.australianunity.com.au/job/Tanilba-Bay-Support-Worker-Personal-Care-Hunter-Valley-NSW-2319/1054086766/","16 Dec 2024","Tanilba Bay, NSW, AU, 2319"
"Support Worker - Personal Care - Armidale","https://careers.australianunity.com.au/job/Armidale-Support-Worker-Personal-Care-Armidale-NSW-2350/1054086266/","16 Dec 2024","Armidale, NSW, AU, 2350"
"Personal Care Support Worker - Penrith","https://careers.australianunity.com.au/job/Penrith-Personal-Care-Support-Worker-Penrith-NSW-2750/1057956366/","16 Dec 2024","Penrith, NSW, AU, 2750"
"Support Worker - Personal Care - Kempsey & Surrounds","https://careers.australianunity.com.au/job/Kempsey-Support-Worker-Personal-Care-Kempsey-&-Surrounds-NSW-2440/1050105166/","10 Jan 2025","Kempsey, NSW, AU, 2440"
"Support Worker - Entry Level or Experienced - Narromine, Trangie & Surrounds","https://careers.australianunity.com.au/job/Narromine%2C-Trangie-Support-Worker-Entry-Level-or-Experienced-Narromine%2C-Trangie-&-Surrounds-NSW-2821%2C-2823/1056869266/","10 Jan 2025","Narromine, Trangie, NSW, AU, 2821, 2823"
"Home Support Worker - Aged Care |  South West Rocks & Surrounds","https://careers.australianunity.com.au/job/Eungai-Creek-Home-Support-Worker-Aged-Care-South-West-Rocks-&-Surrounds-NSW-2441/1050105766/","10 Jan 2025","Eungai Creek, NSW, AU, 2441"
"Home Care Support Worker | Aged Care","https://careers.australianunity.com.au/job/Hay-Home-Care-Support-Worker-Aged-Care-NSW-2711/949088110/","10 Jan 2025","Hay, NSW, AU, 2711"
"Experienced Home Support Worker - Aged Care | Bellingen & Surrounds","https://careers.australianunity.com.au/job/Urunga%2C-Bellingen-Experienced-Home-Support-Worker-Aged-Care-Bellingen-&-Surrounds-NSW-2455%2C-2454/1050105966/","10 Jan 2025","Urunga, Bellingen, NSW, AU, 2455, 2454"
"Experienced Home Care Worker | Aged Care","https://careers.australianunity.com.au/job/Albury-Experienced-Home-Care-Worker-Aged-Care-NSW-2640/947569210/","10 Jan 2025","Albury, NSW, AU, 2640"
"Community Connect Specialist | Sydney","https://careers.australianunity.com.au/job/Sydney-Community-Connect-Specialist-Sydney-NSW-2000/1059387566/","10 Jan 2025","Sydney, NSW, AU, 2000"
"Administrative Assistant - Tweed Heads","https://careers.australianunity.com.au/job/Tweed-Heads-Administrative-Assistant-Tweed-Heads-NSW-2486/1059388966/","10 Jan 2025","Tweed Heads, NSW, AU, 2486"
"Support Worker - Personal Care - Narrabri","https://careers.australianunity.com.au/job/Narrabri-Support-Worker-Personal-Care-Narrabri-NSW-2390/949499910/","9 Jan 2025","Narrabri, NSW, AU, 2390"
"Experienced Home Support Worker - Aged Care | Port Macquarie & Surrounds","https://careers.australianunity.com.au/job/Port-Macquarie-Experienced-Home-Support-Worker-Aged-Care-Port-Macquarie-&-Surrounds-NSW-2444/1050059266/","9 Jan 2025","Port Macquarie, NSW, AU, 2444"
"Support Worker - Dubbo","https://careers.australianunity.com.au/job/Dubbo-Support-Worker-Dubbo-NSW-2830/1054574566/","9 Jan 2025","Dubbo, NSW, AU, 2830"
