"card-title","card-title href","job-component-icon-and-text","job-component-icon-and-text 2","job-component-icon-and-text 3","job-component-icon-and-text 4","job-component-icon-and-text 5","card-text","job-component-icon-and-text 6"
"Team Leader - Aged Care","https://careers.calvarycare.org.au/jobs/da4ce538-0b32-416d-8be0-1995a2ce0edd","South Brighton, SA, Australia","SA","Nursing","Casual","Closing on: Mar 26 2025","We are looking for a casual Team Leader (EN Qualified) to join our team!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/989710b5-996e-4832-a66e-988e4710e144","Bendigo, VIC, Australia","VIC","Aged Care Support","Nursing","Permanent","We are looking for Registered Nurse to join our team at Calvary!","Closing on: Apr 11 2025"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/3ad07187-b31a-4446-88e7-47a1068e38d4","Bruce, ACT, Australia","ACT","Aged Care Support","Permanent","Closing on: Apr 7 2025","We are looking for Catering Support Workers to join our team at Calvary!",""
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/57b495ef-0e54-42fb-ae87-9ae41c828eb9","Doonside, NSW, Australia","NSW","Aged Care Support","Casual","Closing on: Apr 7 2025","We are looking for Personal Care Worker to join our team at Calvary!",""
"Support Worker- Catering","https://careers.calvarycare.org.au/jobs/1aa0a6ab-4ab5-4194-8510-71f0c64f6119","Cowandilla, SA, Australia","SA","Nursing","Casual","Closing on: Mar 29 2025","We are looking for Support Workers to come and join our catering team!",""
"Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/e307b45c-8c75-466f-be7f-5f03c2414978","South West Rocks, NSW, Australia","NSW","Nursing","Permanent","Closing on: Mar 21 2025","Join our team at Calvary!",""
"Support Worker - Catering and Cleaning","https://careers.calvarycare.org.au/jobs/e0966543-3b46-470a-93d5-028cbfa91ffd","Newborough, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","Support Worker – Cleaning and Catering","Closing on: Mar 31 2025"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/084cafd2-d4b9-409e-9d86-bfb94493b2d3","Grovedale, VIC, Australia","VIC","Aged Care Support","Nursing","Permanent","Join our team at Calvary!","Closing on: Apr 7 2025"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-south-west-rocks-nsw-australia-fa2411ca-8f33-4de8-b4c4-905f6fd77d56","South West Rocks, NSW, Australia","NSW","Nursing","Permanent","Closing on: Apr 7 2025","Join our growing team at Calvary South West Rocks! Casual, Permanent Part-Time, Fulltime Positions available!",""
"Home Support Officer","https://careers.calvarycare.org.au/jobs/home-support-officer-ballarat-vic-australia","Ballarat, VIC, Australia","VIC","Administration & Office Support","Aged Care Support","Permanent","We are looking for a Home Support Officer to join our team at Calvary Kirralee aged care home.","Closing on: Apr 7 2025"
"Registered Nurse - Newborough (Casual)","https://careers.calvarycare.org.au/jobs/registered-nurse-newborough-casual-newborough-vic-australia","Newborough, VIC, Australia","VIC","Nursing","Casual","Closing on: Mar 31 2025","Join our team at Calvary Newborough.",""
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/a1c3f5d7-2da3-4ce5-b20c-4fc5ef9835a7","Eleebana, NSW, Australia","NSW","Aged Care Support","Casual","Closing on: Mar 20 2025","We are looking for Support Workers to join our team at Calvary!",""
"Team Leader (Care Qualified)","https://careers.calvarycare.org.au/jobs/03264493-ae79-4f3b-98fa-2283a9c9f226","Eleebana, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Mar 20 2025","Come join us for Team Leader role at Calvary St Franic Retirement Community - Eleebana",""
"Leisure & Activities Coordinator","https://careers.calvarycare.org.au/jobs/af23fda3-0199-482b-aab6-5e17418f8a63","Colac, VIC, Australia","VIC","Administration & Office Support","Aged Care Support","Hospitality","We are looking of a Leisure & Activities Coordinator to join our team at Calvary Barongarook Gardens.","Fixed Term - Time Specific"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-colac-vic-australia-16a39759-615d-42d6-9b71-c3a14d58b64e","Colac, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","We are looking for Registered Nurse to join our team at Calvary!","Permanent"
"Cook","https://careers.calvarycare.org.au/jobs/131ae986-2379-404f-8e87-4327db71babe","Sunbury, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","We are looking for Cook to join our team at Calvary!","Closing on: Mar 27 2025"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/7b94ca04-508c-409f-9b6b-7581e0f4b4ba","Lower Plenty, VIC, Australia","VIC","Nursing","Permanent","Closing on: Mar 25 2025","We are looking for a Registered Nurse to join our team at Calvary!",""
"Home Support Officer - Mirboo North","https://careers.calvarycare.org.au/jobs/990e0832-f9ce-49b9-be35-f67905183e95","Mirboo North, VIC, Australia","VIC","Administration & Office Support","Casual","Closing on: Mar 25 2025","Home support officer/Admin Casual Mirboo North.",""
"Personal Care Worker - Aged Care","https://careers.calvarycare.org.au/jobs/f772d8d0-6612-402c-b793-af6dd1de29dc","Berri, SA, Australia","SA","Allied Health / Health Professionals","Casual","Closing on: Mar 26 2025","We are looking for a Personal Care Worker to come and join our team!",""
"Customer Relationship Coordinator","https://careers.calvarycare.org.au/jobs/024da476-368d-4ec7-a7d8-08753c8f4f66","Melbourne, VIC, Australia","VIC","Administration & Office Support","Aged Care Support","Permanent","We are looking for a Customer Relationship Coordinator to join our national team at Calvary!","Closing on: Mar 18 2025"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/65a2b1d2-0ac5-44b4-ab57-f4601eb296ff","Sandgate, NSW, Australia","NSW","Nursing","Permanent","Closing on: Apr 3 2025","We are looking for a Registered Nurse to join our team at Calvary St Josephs in Sandgate! Exciting permanent part time and Casual opportunity!",""
"Clinical Care Manager","https://careers.calvarycare.org.au/jobs/5256f76b-dee9-44f2-ae42-4b29d243685c","Mt Eliza, VIC, Australia","VIC","Nursing","Permanent","Closing on: Apr 3 2025","We are looking for Clinical Care Manager to join our team at Calvary George Vowell, Mt. Eliza- VIC!",""
"Home Support Officer","https://careers.calvarycare.org.au/jobs/3cd160f2-1adb-4e0e-9c89-732ab3713259","Cowandilla, SA, Australia","SA","Administration & Office Support","Permanent","Closing on: Mar 25 2025","We are looking for a Home Support Officer to join our team at Calvary!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/6ad097e8-859d-446d-8c06-1c8ac0e65f51","Cowandilla, SA, Australia","SA","Nursing","Permanent","Closing on: Mar 25 2025","We are looking for a Registered Nurse to join our team at Calvary!",""
"Personal Care Worker - Aged Care","https://careers.calvarycare.org.au/jobs/34b72447-c5f4-4c44-862d-5fab40b752df","Gawler East, SA, Australia","SA","Allied Health / Health Professionals","Casual","Closing on: Mar 25 2025","We are looking for Personal Care Workers to come and join our team!",""
"Team Leader - Aged Care","https://careers.calvarycare.org.au/jobs/ee1af1e0-dc81-4223-a6b0-d66189f0f5fa","Gawler East, SA, Australia","SA","Nursing","Casual","Closing on: Mar 25 2025","We are looking for a Team Leader to come and join us!",""
"Support Worker - Catering Assistant","https://careers.calvarycare.org.au/jobs/4e3e3332-6f2b-4958-b1a2-bd4fe1c1be03","Dandenong, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","We are looking for Catering Assistant to join our team at Calvary!","Fixed Term - Time Specific"
"Team Leader","https://careers.calvarycare.org.au/jobs/team-leader-riverside-tas-australia-launceston","Launceston, TAS, Australia","Riverside, TAS, Australia","TAS","Aged Care Support","Nursing","We are looking for Team Leaders to join our team at Riverside Nursing Home!","Permanent"
"Registered Nurse (nights)","https://careers.calvarycare.org.au/jobs/registered-nurse-nights-launceston-tas-australia","Launceston, TAS, Australia","TAS","Nursing","Casual","Permanent","Join our team as Registered Nurse at Calvary!",""
"Leisure & Activities Officer","https://careers.calvarycare.org.au/jobs/75cd562d-ae07-4a8c-befe-f03c9dfe22da","Sunbury, VIC, Australia","VIC","Aged Care Support","Health Information Services","Hospitality","We are looking for Leisure & Activities Officer to join our team at Calvary!","Casual"
"Team Leader","https://careers.calvarycare.org.au/jobs/232f4610-9c69-432f-9892-b15155eaef46","Ballarat, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","We are looking for a Team Leader - Enrolled Nurse to join our team at Calvary Kirralee.","Permanent"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/212336d1-4f3d-4e01-8777-6861033e713b","Sunbury, VIC, Australia","VIC","Aged Care Support","Hospitality","Casual","We are looking for Support Worker - Catering to join our team at Calvary!","Closing on: Mar 27 2025"
"Clinical Care Coordinator - Aged Care","https://careers.calvarycare.org.au/jobs/clinical-care-coordinator-aged-care-sunbury-vic-australia","Sunbury, VIC, Australia","VIC","Nursing","Permanent","Closing on: Mar 27 2025","We are looking for Clinical Care Coordinator to join our team at Calvary!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-ballarat-vic-australia-b9792133-0962-4475-b43c-92aeb04124c1","Ballarat, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","We are looking for Registered Nurse to join our team on a casual basis!","Closing on: Mar 27 2025"
"Team Leader (EN Qualified)","https://careers.calvarycare.org.au/jobs/f4189f48-e3da-40e9-99eb-e76d23f5af9b","Bendigo, VIC, Australia","VIC","Aged Care Support","Nursing","Fixed Term - Time Specific","We are looking for Team Leader (Enrolled Nurse) to join our team at Calvary!","Permanent"
"Team Leader (EN Qualified)","https://careers.calvarycare.org.au/jobs/b649f32b-2a1d-4cea-83fe-fc4d6129f6bf","Mount Waverley, VIC, Australia","VIC","Aged Care Support","Permanent","Closing on: Mar 26 2025","We are looking for Team leader for Calvary The Regent .",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-muswellbrook-nsw-australia-9f2c4278-cdcf-400f-812f-5d55e3c60035","Muswellbrook, NSW, Australia","NSW","Nursing","Permanent","Closing on: Mar 27 2025","Join our team at Calvary!",""
"Home Support Officer","https://careers.calvarycare.org.au/jobs/d12ff2e8-3300-42f1-853c-038b3f9e509d","Sandgate, NSW, Australia","NSW","Administration & Office Support","Permanent","Closing on: Mar 23 2025","We are looking for Home Support Officer to join our team at Calvary in Sandgate! Exciting permanent full time opportunity!",""
"Clinical Care Coordinator","https://careers.calvarycare.org.au/jobs/e5f3c549-e3a8-4f36-8aeb-c4b3980dbd76","Grovedale, VIC, Australia","VIC","Aged Care Support","Nursing","Permanent","Join our team at Calvary!","Closing on: Mar 21 2025"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/485d2ca6-1de3-4471-a2b2-b799ed94fa34","Bendigo, VIC, Australia","VIC","Aged Care Support","Hospitality","Permanent","We are looking for Support Worker - Catering to join our team at Calvary!","Closing on: Mar 21 2025"
"Maintenance Officer","https://careers.calvarycare.org.au/jobs/48f2500c-1857-4a22-bd58-37d5cfcb24dd","Ballarat, VIC, Australia","VIC","Aged Care Support","Maintenance, Engineering & Trades","Permanent","We are looking for Maintenance Officer to join our team at Calvary!","Closing on: Mar 21 2025"
"Travel Registered Nurse Program","https://careers.calvarycare.org.au/jobs/a25600c0-f412-4407-8176-56900242fb8c","Sydney, NSW, Australia","NSW","Nursing","Fixed Term - Task Specific","Closing on: Mar 21 2025","Join our Travel RN Program!!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/dc7b3ea7-bef3-4ddc-9194-1c7160a9a4e4","Coffs Harbour, NSW, Australia","NSW","Nursing","Casual","Closing on: Mar 20 2025","Permanent Part Time and Casual Opportunities! Enjoy the freedom of flexible shifts that suit your lifestyle! Join our team in Coffs Harbour!",""
"Team Leader (EN Qualified)","https://careers.calvarycare.org.au/jobs/11d18051-240e-4101-9920-8f2b9acf2aea","Kingswood, SA, Australia","SA","Nursing","Permanent","Closing on: Mar 14 2025","We are looking for a Team Leader - EN to join our team at Calvary!",""
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/cb3fec8b-9f04-45c4-ab15-ef42a3cc127d","Ballarat, VIC, Australia","VIC","Aged Care Support","Nursing","Permanent","We are looking for Personal Care Workers to join our team at Calvary Kirralee.","Closing on: Mar 19 2025"
"Leisure Lifestyle Assistant","https://careers.calvarycare.org.au/jobs/a55a5909-e43d-4715-b72c-f7eb9f414924","Launceston, TAS, Australia","TAS","Health Information Services","Casual","Closing on: Mar 28 2025","Join our team at Calvary",""
"Cook","https://careers.calvarycare.org.au/jobs/02e68cf6-b2df-496f-beca-902774c3aaf3","Norlane, VIC, Australia","VIC","Aged Care Support","Hospitality","Permanent","We are looking for Cook to join our team at Calvary!","Closing on: Mar 11 2025"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/a955160d-3403-4f7f-af46-561473557a98","Muswellbrook, NSW, Australia","NSW","Hospitality","Casual","Closing on: Mar 18 2025","Exciting casual opportunity at Calvary Muswellbrook! Join our growing team as Support Worker - Catering!",""
"Registered Nurse","https://careers.calvarycare.org.au/jobs/2feb734a-b3f8-4672-9251-6412c5e9379a","Maitland, NSW, Australia","NSW","Nursing","Casual","Closing on: Mar 17 2025","We are looking for a Registered Nurse to join our friendly and supportive team. in Maitland Apply now for this exciting casual opportunity!",""
"Support Worker - Cleaning","https://careers.calvarycare.org.au/jobs/01ee9ce0-8423-4cc1-9023-55e615c5b939","Mount Waverley, VIC, Australia","VIC","Aged Care Support","Casual","Closing on: Mar 14 2025","We are looking for Support worker cleaning located in our  Calvary The Regent in Mount Waverley.",""
