"card-title","card-title href","job-component-icon-and-text","job-component-icon-and-text 2","job-component-icon-and-text 3","job-component-icon-and-text 4","job-component-icon-and-text 5","job-component-icon-and-text 6","card-text"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-kingswood-sa-australia-f8552eb2-d999-4b9f-b7e0-36ae0bdf0540","Kingswood, SA, Australia","SA","Nursing","Casual","Closing on: Oct 26 2024","Aged Care","We are looking for a Registered Nurse to come and join our team at Calvary Kingswood!"
"Supply Officer","https://careers.calvarycare.org.au/jobs/supply-officer-adelaide-sa-australia-75603160-c0b2-4ca2-b0ad-d2473dc90d5b","Adelaide, SA, Australia","SA","Property, Procurement & Supply","Permanent","Closing on: Oct 11 2024","Hospitals Private","We are looking for an experienced  Supply Officer to join our team at Calvary!"
"Travelling Team Leader - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-team-leader-aged-care-coffs-harbour-nsw-australia","Coffs Harbour, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Oct 26 2024","Aged Care","Calling all adventurous Aged Care Team Leader (Enrolled Nurse Qualified) that are ready to explore!!"
"Travelling Registered Nurse - Aged Care","https://careers.calvarycare.org.au/jobs/travelling-registered-nurse-aged-care-coffs-harbour-nsw-australia","Coffs Harbour, NSW, Australia","NSW","Nursing","Fixed Term","Closing on: Oct 26 2024","Aged Care","Calling all adventurous Aged Care Registered Nurses that are ready to explore!!"
"Registered Nurse - Night Duty","https://careers.calvarycare.org.au/jobs/registered-nurse-night-duty-cowandilla-sa-australia","Cowandilla, SA, Australia","SA","Nursing","Permanent","Closing on: Oct 11 2024","Aged Care","We are looking for a Registered Nurse to come and join our night duty team at Calvary Flora MacDonald!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-colac-vic-australia-16d5bf49-69b9-4c69-9d09-55efed70a666","Colac, VIC, Australia","VIC","Aged Care Support","Nursing","Casual","Closing on: Oct 26 2024","We are looking for a Registered Nurse to join our team on a casual basis!"
"Registered Nurse","https://careers.calvarycare.org.au/jobs/registered-nurse-waratah-nsw-australia-d7be3409-6c86-463f-80c5-0b2c94cbfd74","Waratah, NSW, Australia","NSW","Nursing","Permanent","Closing on: Oct 13 2024","Hospitals Public","Calvary Mater Newcastle are seeking an experienced Registered Nurse to join our Outpatient Services Department."
"Personal Care Worker","https://careers.calvarycare.org.au/jobs/personal-care-worker-singleton-nsw-australia","Singleton, NSW, Australia","NSW","Aged Care Support","Permanent","Closing on: Oct 24 2024","Aged Care","Fantastic Permanent Part Time or Casual opportunity! Join our team at Calvary Singleton and make a real difference in the community!"
"Support Worker - Catering","https://careers.calvarycare.org.au/jobs/support-worker-catering-waratah-nsw-australia-6a6d5c0d-ce4e-414e-ace7-780bad849cfc","Waratah, NSW, Australia","NSW","Hospitality","Casual","Closing on: Oct 20 2024","Aged Care","We are looking for Support Workers - catering to join our team at Calvary St Martin De Porres in Waratah! Casual opportunities available!"
"Orderly","https://careers.calvarycare.org.au/jobs/orderly-adelaide-sa-australia","Adelaide, SA, Australia","SA","Hospitality","Casual","Closing on: Oct 12 2024","Hospitals Private","We are looking for Orderlies to join our team at Calvary!"
